"job_id","job_title","company_name","location","experience_required_years","skills","salary_min_inr","salary_max_inr","employment_type","remote_option"
65,"DevOps Engineer","TCS","Kolkata",4,"Python, Node.js, SQL","1025096.00","1295229.00","Contract","Remote"
66,"Backend Developer","HCLTech","Hyderabad",5,"Power BI, React, Node.js","844742.00","959468.00","Full-time","Onsite"
67,"ML Engineer","Wipro","Noida",6,"Node.js, Power BI, Tableau","1371131.00","1730421.00","Contract","Remote"
68,"ML Engineer","HCLTech","Pune",15,"SQL, Node.js, Machine Learning","1547406.00","1878342.00","Internship","Remote"
69,"Business Analyst","Cognizant","Pune",5,"Power BI, Python, Docker","665744.00","826114.00","Full-time","Remote"
70,"Backend Developer","Capgemini","Kolkata",12,"Azure, Machine Learning, Tableau","801063.00","1092547.00","Full-time","Onsite"
71,"Software Engineer","Flipkart","Bangalore",14,"Node.js, React, Docker","966808.00","1255024.00","Contract","Hybrid"
72,"Data Analyst","Zoho","Hyderabad",11,"Azure, Node.js, Python","883381.00","1229041.00","Full-time","Remote"
73,"Data Scientist","Infosys","Noida",14,"React, Kubernetes, Tableau","947325.00","1323959.00","Internship","Hybrid"
74,"Cloud Engineer","TCS","Hyderabad",10,"Power BI, SQL, Java","846066.00","1026336.00","Internship","Hybrid"
75,"Data Scientist","Wipro","Chennai",3,"Tableau, AWS, Machine Learning","896866.00","1034156.00","Internship","Hybrid"
76,"ML Engineer","TCS","Kolkata",10,"AWS, Kubernetes, Java","1738941.00","1963947.00","Contract","Onsite"
77,"Data Analyst","TCS","Kolkata",15,"AWS, Power BI, Python","899448.00","1199526.00","Internship","Hybrid"
78,"Software Engineer","Cognizant","Bangalore",10,"Machine Learning, Kubernetes, Docker","1117972.00","1344344.00","Full-time","Remote"
79,"Data Analyst","Infosys","Mumbai",6,"Tableau, Power BI, SQL","990085.00","1283278.00","Full-time","Hybrid"
80,"DevOps Engineer","Accenture","Mumbai",6,"Docker, Azure, Machine Learning","712103.00","940194.00","Full-time","Hybrid"
81,"Software Engineer","Zoho","Bangalore",3,"Machine Learning, Tableau, Docker","576220.00","790804.00","Internship","Onsite"
82,"ML Engineer","Infosys","Mumbai",1,"React, SQL, Azure","2264056.00","2616479.00","Full-time","Onsite"
83,"Backend Developer","Infosys","Mumbai",15,"Docker, React, Node.js","1147754.00","1270615.00","Internship","Remote"
84,"ML Engineer","Zoho","Noida",11,"Tableau, SQL, AWS","1938649.00","2066553.00","Full-time","Onsite"
85,"DevOps Engineer","Flipkart","Mumbai",2,"Java, AWS, Node.js","1509159.00","1900601.00","Internship","Onsite"
86,"Cloud Engineer","Wipro","Kolkata",8,"SQL, Python, Machine Learning","1506933.00","1816559.00","Full-time","Remote"
87,"Software Engineer","Wipro","Delhi NCR",15,"Java, Tableau, Docker","1583846.00","1811357.00","Full-time","Onsite"
88,"Data Scientist","Cognizant","Delhi NCR",15,"Docker, Machine Learning, SQL","1595959.00","1742929.00","Internship","Remote"
89,"Business Analyst","Cognizant","Pune",7,"Azure, Kubernetes, React","522033.00","754305.00","Internship","Remote"
90,"Software Engineer","Tech Mahindra","Mumbai",0,"Node.js, Tableau, Kubernetes","1143567.00","1522095.00","Full-time","Onsite"
91,"Cybersecurity Analyst","Infosys","Mumbai",15,"Python, Kubernetes, Docker","933736.00","1297249.00","Contract","Onsite"
92,"DevOps Engineer","Accenture","Mumbai",14,"Power BI, React, Python","1228593.00","1339230.00","Contract","Remote"
93,"Data Analyst","Infosys","Noida",10,"Azure, Tableau, React","500907.00","720142.00","Internship","Hybrid"
94,"Backend Developer","Tech Mahindra","Mumbai",15,"SQL, Kubernetes, Docker","967609.00","1282798.00","Full-time","Onsite"
95,"ML Engineer","Tech Mahindra","Mumbai",12,"SQL, AWS, Power BI","2366023.00","2620408.00","Full-time","Remote"
96,"Frontend Developer","Flipkart","Chennai",12,"Docker, Node.js, Power BI","1125848.00","1507127.00","Internship","Hybrid"
97,"Frontend Developer","Accenture","Bangalore",5,"Node.js, Kubernetes, AWS","924117.00","1151291.00","Contract","Onsite"
98,"DevOps Engineer","Capgemini","Bangalore",12,"Kubernetes, Azure, Python","962219.00","1295437.00","Internship","Remote"
99,"Frontend Developer","Zoho","Chennai",13,"React, Kubernetes, Docker","1039059.00","1295268.00","Contract","Hybrid"
100,"DevOps Engineer","Cognizant","Noida",13,"Kubernetes, Machine Learning, AWS","1162531.00","1269608.00","Internship","Remote"
101,"DevOps Engineer","HCLTech","Mumbai",3,"Tableau, Kubernetes, Power BI","1447064.00","1562340.00","Contract","Onsite"
102,"DevOps Engineer","Zoho","Hyderabad",11,"SQL, Node.js, AWS","1775941.00","1975299.00","Contract","Onsite"
103,"Cybersecurity Analyst","HCLTech","Delhi NCR",3,"Azure, Python, SQL","1327732.00","1698226.00","Full-time","Hybrid"
104,"Software Engineer","Infosys","Pune",3,"Docker, Tableau, Machine Learning","1466638.00","1783626.00","Internship","Onsite"
105,"Data Analyst","Capgemini","Kolkata",7,"SQL, Docker, Power BI","490801.00","772430.00","Full-time","Onsite"
106,"Data Scientist","Capgemini","Kolkata",13,"Python, Tableau, React","2238127.00","2581276.00","Contract","Remote"
107,"Data Analyst","Infosys","Chennai",5,"Node.js, Docker, React","449335.00","763062.00","Full-time","Hybrid"
108,"Data Analyst","Flipkart","Chennai",0,"Azure, Power BI, SQL","767081.00","955625.00","Internship","Onsite"
109,"Frontend Developer","Infosys","Chennai",13,"Machine Learning, Power BI, Kubernetes","1238969.00","1378714.00","Internship","Hybrid"
110,"ML Engineer","Cognizant","Chennai",5,"Python, Docker, Kubernetes","2168440.00","2543036.00","Contract","Remote"
111,"Cybersecurity Analyst","Flipkart","Kolkata",8,"Java, Machine Learning, Docker","1208461.00","1525206.00","Contract","Hybrid"
112,"Backend Developer","Flipkart","Delhi NCR",0,"Node.js, Machine Learning, SQL","615681.00","845071.00","Internship","Hybrid"
113,"DevOps Engineer","Infosys","Delhi NCR",12,"Power BI, React, Tableau","1589833.00","1931932.00","Internship","Hybrid"
114,"Business Analyst","Cognizant","Delhi NCR",0,"Azure, Tableau, Python","895742.00","1183574.00","Contract","Hybrid"
115,"Cybersecurity Analyst","Zoho","Bangalore",9,"SQL, Machine Learning, Power BI","692316.00","804447.00","Contract","Hybrid"
116,"Backend Developer","HCLTech","Bangalore",0,"SQL, AWS, Java","1458908.00","1693841.00","Full-time","Remote"
117,"Frontend Developer","Flipkart","Bangalore",14,"Azure, Java, SQL","1098878.00","1481837.00","Contract","Onsite"
118,"Data Analyst","Cognizant","Bangalore",2,"Java, Tableau, Docker","470058.00","625054.00","Internship","Onsite"
119,"Backend Developer","TCS","Noida",14,"Azure, Java, Node.js","928819.00","1223333.00","Internship","Remote"
120,"Software Engineer","Flipkart","Noida",2,"Tableau, Node.js, Java","1332981.00","1458579.00","Full-time","Hybrid"
121,"Data Analyst","Capgemini","Mumbai",6,"AWS, Machine Learning, Java","535035.00","860348.00","Internship","Hybrid"
122,"Data Scientist","Infosys","Delhi NCR",14,"Power BI, SQL, Python","1016124.00","1217480.00","Contract","Remote"
123,"Data Analyst","Tech Mahindra","Chennai",7,"SQL, Azure, Docker","689878.00","1079525.00","Internship","Onsite"
124,"Cloud Engineer","Tech Mahindra","Mumbai",14,"Java, Node.js, AWS","953423.00","1171470.00","Internship","Hybrid"
125,"Data Analyst","HCLTech","Pune",15,"Java, Machine Learning, Tableau","809306.00","1041100.00","Full-time","Remote"
126,"Business Analyst","Tech Mahindra","Pune",1,"Node.js, Azure, Tableau","641870.00","892333.00","Internship","Onsite"
127,"Backend Developer","Infosys","Pune",14,"Azure, SQL, Node.js","659224.00","899861.00","Internship","Hybrid"
128,"Data Analyst","Wipro","Bangalore",9,"SQL, Azure, Power BI","902029.00","1167813.00","Full-time","Onsite"
129,"ML Engineer","HCLTech","Bangalore",0,"React, Machine Learning, SQL","2032932.00","2138872.00","Contract","Hybrid"
130,"Cloud Engineer","Tech Mahindra","Kolkata",7,"React, Tableau, Power BI","1663865.00","1939160.00","Full-time","Remote"
131,"Frontend Developer","Zoho","Delhi NCR",8,"Power BI, Docker, SQL","830716.00","1036544.00","Internship","Remote"
132,"Data Scientist","Flipkart","Bangalore",1,"Tableau, Java, Node.js","1708873.00","2053044.00","Contract","Onsite"
133,"Frontend Developer","Cognizant","Pune",3,"React, AWS, Azure","577586.00","816110.00","Full-time","Hybrid"
134,"Data Scientist","Wipro","Noida",15,"React, Java, AWS","1054296.00","1174427.00","Internship","Remote"
135,"Backend Developer","Cognizant","Noida",13,"Docker, Power BI, AWS","688074.00","949423.00","Full-time","Hybrid"
136,"DevOps Engineer","Tech Mahindra","Pune",15,"Node.js, Machine Learning, Docker","1471778.00","1684569.00","Full-time","Onsite"
137,"Backend Developer","HCLTech","Pune",14,"Azure, Kubernetes, Power BI","695695.00","837229.00","Contract","Hybrid"
138,"Data Scientist","TCS","Chennai",2,"Tableau, Machine Learning, SQL","1374909.00","1627042.00","Contract","Remote"
139,"Cloud Engineer","Infosys","Chennai",13,"SQL, Python, Docker","1704901.00","1969750.00","Full-time","Onsite"
140,"Frontend Developer","Flipkart","Chennai",7,"Python, React, Azure","1299244.00","1565748.00","Full-time","Remote"
141,"Backend Developer","Zoho","Hyderabad",8,"Docker, Java, Azure","1313925.00","1666142.00","Contract","Hybrid"
142,"Data Scientist","Tech Mahindra","Noida",2,"Docker, Python, Node.js","1176155.00","1481060.00","Full-time","Onsite"
143,"Data Scientist","Wipro","Bangalore",10,"Python, Tableau, Node.js","833367.00","955875.00","Full-time","Remote"
144,"Data Analyst","Wipro","Kolkata",6,"AWS, Node.js, Python","865239.00","991911.00","Contract","Hybrid"
145,"Data Scientist","Zoho","Kolkata",9,"Tableau, Docker, SQL","1218224.00","1337198.00","Contract","Remote"
146,"DevOps Engineer","HCLTech","Delhi NCR",9,"SQL, Node.js, Python","862770.00","1017885.00","Full-time","Onsite"
147,"ML Engineer","Accenture","Bangalore",1,"React, AWS, Python","1973135.00","2199111.00","Full-time","Hybrid"
148,"Software Engineer","Cognizant","Kolkata",14,"SQL, Machine Learning, React","1317990.00","1521193.00","Full-time","Remote"
149,"ML Engineer","Capgemini","Bangalore",4,"Docker, SQL, Java","994134.00","1136975.00","Internship","Hybrid"
150,"Cybersecurity Analyst","Wipro","Mumbai",15,"AWS, Kubernetes, Docker","642704.00","920534.00","Full-time","Remote"
151,"ML Engineer","Capgemini","Hyderabad",1,"Docker, Power BI, SQL","1312392.00","1669965.00","Contract","Remote"
152,"Data Analyst","TCS","Noida",9,"Tableau, Machine Learning, React","541918.00","697597.00","Contract","Remote"
153,"Frontend Developer","Tech Mahindra","Hyderabad",12,"Power BI, Tableau, Node.js","509275.00","831086.00","Internship","Onsite"
154,"Frontend Developer","Zoho","Hyderabad",6,"Java, Azure, SQL","1060033.00","1403217.00","Contract","Remote"
155,"Software Engineer","Cognizant","Mumbai",7,"Docker, Java, Kubernetes","1288654.00","1527893.00","Full-time","Remote"
156,"Business Analyst","Accenture","Mumbai",4,"React, Java, Python","682272.00","790049.00","Internship","Hybrid"
157,"Software Engineer","TCS","Delhi NCR",7,"Python, Power BI, Node.js","1346156.00","1531687.00","Internship","Onsite"
158,"Cloud Engineer","Accenture","Hyderabad",14,"Machine Learning, SQL, Tableau","1892444.00","2283341.00","Internship","Onsite"
159,"Data Analyst","Wipro","Noida",4,"Kubernetes, Machine Learning, Power BI","644661.00","865785.00","Internship","Onsite"
160,"Cybersecurity Analyst","TCS","Mumbai",12,"SQL, Kubernetes, Power BI","894049.00","1239298.00","Internship","Onsite"
161,"Software Engineer","TCS","Kolkata",11,"Python, Node.js, Java","696739.00","896557.00","Full-time","Onsite"
162,"Cloud Engineer","Accenture","Pune",10,"Java, Tableau, Azure","1648500.00","1954337.00","Contract","Hybrid"
163,"Frontend Developer","Infosys","Bangalore",6,"Node.js, Python, Power BI","485657.00","620117.00","Full-time","Remote"
164,"Cybersecurity Analyst","Infosys","Mumbai",2,"Azure, AWS, React","748988.00","1097783.00","Internship","Hybrid"
165,"Data Analyst","Flipkart","Noida",11,"Docker, Python, SQL","838031.00","1115646.00","Contract","Hybrid"
166,"ML Engineer","HCLTech","Bangalore",2,"Java, Node.js, Machine Learning","1127150.00","1430002.00","Full-time","Onsite"
167,"Data Analyst","Infosys","Hyderabad",0,"Azure, Docker, Java","771707.00","954730.00","Internship","Remote"
168,"Backend Developer","Infosys","Bangalore",6,"Docker, Java, AWS","1361016.00","1522256.00","Internship","Hybrid"
169,"Data Analyst","Wipro","Mumbai",4,"Java, AWS, Docker","638131.00","934711.00","Internship","Remote"
170,"DevOps Engineer","Cognizant","Bangalore",14,"Azure, Python, Machine Learning","1129404.00","1485738.00","Contract","Onsite"
171,"Backend Developer","Wipro","Chennai",10,"Java, Tableau, Power BI","1384049.00","1687188.00","Contract","Onsite"
172,"Software Engineer","Capgemini","Noida",8,"Power BI, Python, Azure","1528079.00","1790831.00","Internship","Hybrid"
173,"Data Analyst","Tech Mahindra","Delhi NCR",12,"Python, Azure, Kubernetes","634789.00","854094.00","Contract","Hybrid"
174,"Cybersecurity Analyst","Tech Mahindra","Noida",13,"Azure, AWS, React","622535.00","1021816.00","Full-time","Remote"
175,"Cybersecurity Analyst","Infosys","Bangalore",15,"Kubernetes, Node.js, Power BI","949572.00","1253362.00","Contract","Hybrid"
176,"Backend Developer","Capgemini","Mumbai",1,"Python, Machine Learning, Power BI","918926.00","1178914.00","Internship","Onsite"
177,"Software Engineer","Tech Mahindra","Noida",0,"Docker, Kubernetes, Power BI","1382647.00","1686587.00","Contract","Onsite"
178,"DevOps Engineer","Zoho","Mumbai",1,"Python, React, AWS","1333438.00","1719822.00","Internship","Hybrid"
179,"Software Engineer","Flipkart","Delhi NCR",14,"AWS, Kubernetes, Tableau","878942.00","996710.00","Full-time","Onsite"
180,"Data Scientist","TCS","Bangalore",15,"Java, Docker, Node.js","854429.00","1252607.00","Full-time","Onsite"
181,"Cybersecurity Analyst","Wipro","Chennai",13,"Azure, Java, Tableau","635417.00","781280.00","Internship","Onsite"
182,"Data Scientist","Accenture","Pune",4,"SQL, Tableau, React","2272112.00","2570997.00","Contract","Hybrid"
183,"DevOps Engineer","HCLTech","Hyderabad",5,"Power BI, Tableau, React","1269161.00","1479277.00","Contract","Remote"
184,"Software Engineer","Tech Mahindra","Pune",2,"Azure, Node.js, Tableau","677589.00","927810.00","Internship","Remote"
185,"DevOps Engineer","Infosys","Bangalore",11,"AWS, Node.js, Java","1621101.00","1790982.00","Full-time","Onsite"
186,"DevOps Engineer","Wipro","Mumbai",13,"Tableau, SQL, AWS","1530729.00","1898175.00","Internship","Onsite"
187,"Data Analyst","Infosys","Delhi NCR",8,"React, Python, Java","580238.00","976666.00","Internship","Remote"
188,"Business Analyst","Capgemini","Chennai",5,"Java, Machine Learning, Power BI","892185.00","1070530.00","Contract","Hybrid"
189,"Business Analyst","Capgemini","Noida",15,"AWS, Azure, Machine Learning","1025273.00","1224571.00","Full-time","Hybrid"
190,"Data Scientist","TCS","Hyderabad",8,"SQL, Azure, Machine Learning","2284572.00","2608547.00","Internship","Hybrid"
191,"DevOps Engineer","Zoho","Chennai",11,"Machine Learning, Python, React","768563.00","1094079.00","Contract","Remote"
192,"Backend Developer","Accenture","Hyderabad",10,"Python, SQL, AWS","1246874.00","1620275.00","Full-time","Onsite"
193,"Frontend Developer","TCS","Pune",8,"Tableau, Docker, SQL","899285.00","1021570.00","Internship","Hybrid"
194,"Business Analyst","TCS","Hyderabad",0,"Kubernetes, Machine Learning, Azure","941382.00","1075185.00","Contract","Hybrid"
195,"DevOps Engineer","Capgemini","Delhi NCR",3,"Node.js, React, AWS","835446.00","1127630.00","Internship","Remote"
196,"Software Engineer","Accenture","Bangalore",5,"React, Kubernetes, Java","644874.00","770918.00","Internship","Onsite"
197,"Cloud Engineer","Flipkart","Delhi NCR",9,"AWS, SQL, Azure","1857049.00","1988037.00","Full-time","Onsite"
198,"Cybersecurity Analyst","Flipkart","Kolkata",12,"Kubernetes, Machine Learning, SQL","1082908.00","1295888.00","Contract","Remote"
199,"Frontend Developer","Accenture","Chennai",8,"Node.js, Docker, Python","752548.00","926554.00","Contract","Remote"
200,"Backend Developer","Tech Mahindra","Delhi NCR",1,"Docker, Machine Learning, Power BI","1135854.00","1498757.00","Internship","Onsite"
201,"Frontend Developer","Cognizant","Hyderabad",8,"Docker, Power BI, AWS","640068.00","1019632.00","Contract","Onsite"
202,"Frontend Developer","Capgemini","Delhi NCR",6,"Python, Power BI, Kubernetes","868320.00","1010989.00","Internship","Hybrid"
203,"Software Engineer","Accenture","Pune",3,"AWS, SQL, Tableau","1369059.00","1671318.00","Internship","Onsite"
204,"Backend Developer","Capgemini","Kolkata",15,"Tableau, Power BI, AWS","732525.00","847352.00","Internship","Remote"
205,"Cloud Engineer","TCS","Chennai",2,"Node.js, Azure, SQL","1647619.00","2044899.00","Internship","Hybrid"
206,"Data Analyst","Flipkart","Delhi NCR",1,"Power BI, AWS, SQL","641721.00","874292.00","Contract","Onsite"
207,"Business Analyst","Zoho","Bangalore",12,"Node.js, Tableau, Machine Learning","878771.00","1123387.00","Contract","Hybrid"
208,"Cloud Engineer","Accenture","Noida",4,"Power BI, Azure, SQL","1036960.00","1396986.00","Full-time","Onsite"
209,"Data Scientist","Tech Mahindra","Mumbai",8,"React, Machine Learning, Docker","1188991.00","1551159.00","Full-time","Onsite"
210,"Frontend Developer","Infosys","Kolkata",14,"Power BI, Docker, React","1105650.00","1449893.00","Contract","Remote"
211,"Backend Developer","Flipkart","Kolkata",3,"Docker, React, Machine Learning","1099320.00","1410401.00","Contract","Hybrid"
212,"Frontend Developer","Tech Mahindra","Chennai",0,"React, Docker, AWS","881315.00","1206186.00","Internship","Remote"
213,"DevOps Engineer","Tech Mahindra","Pune",15,"SQL, Power BI, Java","1724064.00","1854912.00","Contract","Hybrid"
214,"Cloud Engineer","Accenture","Pune",15,"Power BI, React, Azure","1754983.00","1890384.00","Full-time","Onsite"
215,"Software Engineer","Wipro","Mumbai",2,"Kubernetes, Python, AWS","527419.00","664909.00","Contract","Hybrid"
216,"Frontend Developer","Capgemini","Kolkata",1,"Docker, Machine Learning, Azure","482836.00","746837.00","Contract","Hybrid"
217,"Business Analyst","Flipkart","Mumbai",3,"Kubernetes, AWS, Docker","591647.00","707029.00","Full-time","Onsite"
218,"Cybersecurity Analyst","Infosys","Chennai",8,"AWS, Machine Learning, SQL","786550.00","1139257.00","Full-time","Hybrid"
219,"Business Analyst","Cognizant","Noida",14,"Tableau, Azure, Node.js","718345.00","1079926.00","Full-time","Hybrid"
220,"Cybersecurity Analyst","Wipro","Chennai",7,"Machine Learning, Java, Docker","1009788.00","1182252.00","Contract","Hybrid"
221,"Data Analyst","Accenture","Bangalore",14,"Azure, AWS, Python","637364.00","828384.00","Internship","Hybrid"
222,"Backend Developer","HCLTech","Hyderabad",5,"Azure, AWS, React","681372.00","1053962.00","Contract","Remote"
223,"Data Analyst","Accenture","Delhi NCR",3,"Tableau, Azure, React","936682.00","1145081.00","Full-time","Hybrid"
224,"Cloud Engineer","Capgemini","Hyderabad",5,"Java, Machine Learning, Node.js","1601652.00","1908583.00","Full-time","Remote"
225,"Backend Developer","Infosys","Hyderabad",12,"React, Node.js, Power BI","1165957.00","1340790.00","Full-time","Hybrid"
226,"Business Analyst","Flipkart","Bangalore",7,"Java, Tableau, SQL","855835.00","1239562.00","Full-time","Remote"
227,"Frontend Developer","Flipkart","Chennai",12,"Power BI, Python, Machine Learning","603305.00","985960.00","Contract","Onsite"
228,"Cloud Engineer","TCS","Kolkata",0,"SQL, Azure, Power BI","1266608.00","1393348.00","Contract","Hybrid"
229,"Frontend Developer","Accenture","Pune",5,"Python, Java, React","921324.00","1114952.00","Contract","Remote"
230,"Frontend Developer","HCLTech","Chennai",5,"AWS, Python, Machine Learning","718363.00","835833.00","Internship","Remote"
